10 hral|torn.
140 bla rabs|hierarchy, hierarchical succession: {rab la phag mo gru ba'i bla rabs} the succession of the Phagmodu Lamas was the chief (Yig. 3).
140 bla rdol|= {rdzun pa} a false speech, inconsiderate talking (Situ. 24). {bla rdol du smra ba} = {rdzun smra ba} to utter an untruth, to lie.
140 bsad pa|SANST killed, also killing: {srog chags bsad pa} killing animals (Situ. 76) v. {gsod pa}. {bsad bya} SANST animal to be slaughtered.
140 bsdam ra|= {bkag sdom dam po byed pa} (Rtsii.).\n\n(EEE This phrase is not explained elsewhere in the dictionary but see under {bkag sdom}.)
140 bser mo|adj. or sbst. {khyod bser mo mang po ma tshor ram} W., did you not feel very cold? {bser mo'i nad} honorif. a catarrh, a cold (Jä.).
140 bsod btags|for {bsod nams kyi kha btags}, a kind of silk scarf which is believed to bring good luck to the person receiving it as a present.
140 'bus pa|1. to blow (of flowers), to open, {kha 'bus pa} v. {'bu ba}. 2. = {'bur bar} prominent (Jä.). {'bus shing} a coppice of young trees.
140 byang chub snying po|SANST the sacred heart of the Bodhisattva, i.e., the place where Buddha attained to Nirvana, Vajrasana now called Gaya.
140 bzed|in comp.: {lag bzed} a hand-basin; {snod bzed} (Situ. 76) basin, bowel; {lhung bzed} beggar's bowl, alms-pot carried by Buddhist monks.
140 'chal|SANST random talk or speech: {'di 'chal 'dug pas da rang re rnams 'gro/} as this is meaningless talk, let us, every one of us, now go.
140 chig|used for {gcig} as the first part of compound numbers:- {chig bcu} 10; {chig brgya} 100; {chig stong} 1,000; {chig khri} a myriad, etc.
140 dar ya kan|a medicinal herb growing in clefts of rocks: {dar ya kan gyi byang khog chu ser skem mgo bo'i rus chag sbyor zhing lha ba 'dzin/}
140 dbyangs snyan|SANST, SANST the cuckoo; the divine singer or songstress; Gandharva.\n\nSyn. {khu byug}; {lha yi glu mkhan}; {dri za} (Moon.).
140 ga dur|an astringent medicinal root: {rims dang glo tshad rtsa nad sel} it removes remittent fever, diseases of the lungs and of the bowels.
140 ga mo byi la|n. of species of wild cat: {ga mo byi las nyal nas byi'u 'dzin} the ga-mo byi-la catches little birds by lying in wait (Rdsa.).
140 gos can|SANST a kind of sandal.\n\n{gos can} * 1. SANST (Schr.; Lebensb. 86) a tablet; a piece of cloth. 2. {gos can tsan dkar} SANST satin.
140 gsang sngags|SANST, SANST charms, secret religious instructions, mysterious incantations; {gsang sngags smra} SANST one versed in mysticism.
140 gzhi deb|= {ma deb} the principal register: {skor thang gzhi deb zur gsal} the accounts are clear marginally in the chief register (Rtsii.).
140 hus|moisture, humidity, {hus can} wet; {hus phog} injured by damp; {dpe cha la hus phog ste skam chug} the book having got damp, let it dry.
140 kha brag|forked rocks; any forked object; also as adj. {lo kha brag}, the mountainous wild country N. E. of Bhutan inhabited by wild tribes.
140 kha gso|made full by adding something more to it: {phud dang bdud rtsi kha gso} filling with the best thing and nectar in oblation (Rtsii.).
140 'khon pa|also {'khon yod pa} to bear a grudge or ill-will against a person; to be dissatisfied with a thing; also to be malicious, spiteful.
140 ki ma|according to Schr. a corruption of the Chinese word khin, a lyre with seven strings. (Pilgrimage of Fa-Hian. Calcutta, 1848, p. 265.).
140 kun ta|‡ SANST from where? one from an unknown place; also interrogatively, come from where? It is used in mystic language (K. g. {kha} 26).
140 lag deb|note, note-book, hand-book; {gzhis khag gang yin gyi lag deb} a register or note of all the different shi-kha farm-estates (Rtsii.).
140 lha'i rol mo|the muses, goddesses born as musicians: {lha mo dag kyang lha'i rol mo byed par 'gyur} the goddesses will perform divine music.
140 lha mo dpal phreng gis zhus pa'i mdo|a Sutra delivered at the request of king Prasenajit's daughter princess Dpal Phreo (K. ko. {cha}, 419).
140 ltung byed|SANST a transgression, crime; {ngan song du ltung} fallen into damnation; {ltung 'dod} wishing to fall, to sin; also apt to fall.
140 ma tha|= {tha na} neutral, neutrality: {ma tha yang kha rog mi bzhugs par gsungs} spoke not remaining silent even if he was neutral (A. 94).
140 mi ser|= {'bangs} com. term for: agricultural tenants, husbandmen with lands held subject to payments but from which they are non-ejectable.
140 myang ba|v. {myong ba} SANST, SANST, SANST to taste; tasteful: {myang bar 'dod pa} wishing to taste; {myang bya} SANST as met. = the tongue.
140 ngag dbang|a title of learning given to some of the Grand Lamas of Tibet. Is also the first name of the present or 14th Dalai Lama of Lhasa.
140 ngu 'bod|1. bewailing; crying or weeping loudly. 2. SANST n. of a hell: {ngu 'bod chen po} SANST the hell greater in suffering than Raurava.
140 o lo|1. = a boy, stripling in Ts. and Ü. 2. an earthen-ware tea-pot. 3. Sch.: the place where two rivers join, the confluence of two rivers.
140 pho mo|man and woman; male and female. {pho mo med} no difference of sex exists; {pho mo lhag cig tu gnas pa} terms signifying cohabitation.
140 'phrul cha|= {go cha} miraculous dress, i.e., coat of mail: {'phrul cha la sogs pa thogs nas} being equipped with coat of mail, etc. (D.R.).
140 rgyangs|adv. far; {rgyangs bkyed de} moving far away, e.g., in order to increase one's distance from an unpleasant neighbour at table (Jä.).
140 rna ba bye pa ri|n. of a hill in the land of the Yidag or Preta: {sngon gro bzhin skyes rna ba bye ba ri yi dvags kyi yul byon} (Khrid. 41).
140 rnga yab mjug ma can|a term for horses in general; lit. that has the yak's tail (Moon.).\n\nSyn. {g.yog byed}; {bung pa skrod byed} (Moon.).
140 rta bdun pa|SANST an epithet of the sun, whose chariot is said to be drawn by seven horses; also n. of Vanuna the god of the oceans (Moon.).
140 sa dpyad|= {sa brtag} or {sa yi brtag pa} discrimination of land, ascertaining the suitability of land for building sites, &c. (Ya-sel. 33).
140 sag ri|or {sags ri} from Persian Sagri: 1. shargreen. 2. obliquely cut edge-lining of a robe: {kha 'gril la sag ri zhing sor gang} (Rtsii.).
140 shva na mo|= {mkha' 'gro ma} SANST, a class of nymph: {rta mgrin sha na mo bzhis bskor ba'i sgrub thabs mdzad nas bran ka btul lo} (A. 102).
140 sin dha ra tha|‡ n. of a religious work: {slob dpon legs ldan rnam snang gis mdzad pa'i sin dha ra tha gsungs nas lo tsA bas sgyur} (A. 98).
140 skum pa|pf. {bskums}, fut. {bskum}, imp. {skums}, to contract; also to be drawn up; to be paralysed: {yan lag skum pa} to draw in the limbs.
140 snying rlung|1. = {khong khro longs pa} anger, indignation. 2. low spirits, melancholy (Sch.). {snying rlung drag po ldan} become indignant.
140 spur ba|[vb. a. to {'phur} to make fly, to scare up, to let fly; {dus spur ba} to pass time quickly; {stong spur} exaggeration, bombast] Jä.
140 srung byed|= {grong khyer} a city (Moon.) SANST; the city of Avanti in ancient Malwa (S. Lex.). 2. SANST custodian of treasures, a demi-god.
140 stobs 'jig|SANST; {gshin rje'i gshed po} (D.R.) an epithet of Shin-je the lord of death, acc. to the Bon cult. [Indra, the slayer of Bala]S.
140 stongs bskal|or {sangs rgyas kyi stongs pa} the period during which no Buddha appears; a state of unhappiness or {mi khom pa}, v. {khom pa}.
140 thar pa'i blo gros|= {grub mtha'} the inclination for liberation; the metaphysical conclusions of religion; n. of metaphysical work (Moon.).
140 tho co|jocular talk, nonsense-chatter; {tho co byed pa} to speak nonsense, meaningless words. This word and {tho cho} are evidently identic.
140 thong ka|+\nor {thong ga} = {brang} or {brang kha} the breast: {thong ga nas bzung byung} they (fought) holding each other breast to breast.
140 ting nge 'dzin gyi dkyil 'khor|SANST the mystic circle which is described on the place one occupies when meditating; a circle of meditation.
140 tsa na|an idiomatic term = while: {de ltar bsam tsa na} while so thinking; {der slebs tsa na} in the event of arrival there, while arriving.
140 yan dha shen hung zhi|Z-;è,-¼â$-5Ü-\none of the early emperors of China under whose orders works on medicine were composed (Grub. {tha}, 8).
140 ya rabs|respectable class of persons, high class people: {ya rabs rigs bzang blo gros ldan/_rigs rgyud khungs ldan gyi ya rabs} (Yig. k. 1).
141 au pa la|SANST the learned disciple of Buddha who expounded the Abhidharma pitaka at the first great Buddhist convocation (K. du. {da}, 427).
141 brtsal|SANST care and assiduity; {brtsal ma thag tu byung ba} SANST that which comes just out of careful work, outcome of care and assiduity.
141 bsam gyis mi khyab pa las 'das pa|SANST n. of a very great number [n. of a chapter of the Prajñaparamita which treats of the inconceivable]S.
141 bsod nams dar rgyas|increased and abundant merits; n. of the father of Dalai Lama Kalzang Gyatsho ({bskal bzang rgya mtsho}) (Loo. {za}, 21).
141 bstabs pa|= {byin pa} SANST; {byin len rgyas par btang ba/_kha zas bstabs} gifts having been freely dispensed, food was set forth (Situ. 75).
141 bstir med|+\n= 1. {bar med} SANST one of the infernal regions. {mnar med dmyal ba} the hell of endless torments. 2. acc. to Jä. restlessness.
141 dge bsnyen chos 'phel|the original name of {'brom ston rgyal ba'i 'byung gnas} the founder of the Buddhist hierarchy of Tibet (Grub. {ga} 5).
141 drungs pa|1. = {drungs po} bright, sparkling. 2. acc. to Cs. clarified, clear. 3. beer, resp. {bzhes drungs} beer for the use of a great man.
141 gdung byed|1. as met. the sun, also = {nyi ma'i 'od} the sun's rays. 2. {than pa} drought (Moon.). 3. {dga' byed shing} n. of a tree (Moon.).
141 'gyu ba|pf. {'gyus}, to move quickly to and fro, e.g., as lightning, the quivering air in mirage, the motion and versatility of the mind, &c.
141 hUM nga|œ×î-$-\nin which hum = the expression of anger: {nga} signifies I, myself and {hUM nga ni skye 'gro'i srog bdag chen po yin} (A. 18).
141 ka ba'i sbyar bkod|a cornice; the ornamental projections, &c., which surmount a pillar; the decorative pieces which are attached to a pillar.
141 kha gang|a quadrate, square; one sixth of the Tibetan coin called taoka, which is equivalent to one anna in India: {kha gang ba} adj. square.
141 kha gsag|v. {kha bsag}.\n\n(EEE the original had "v. {kha bgag}" with transliteration kha-bsag. The error in the Tibetan has been corrected.)
141 khron bu|1. a medicinal root; a vegetable purgative. 2. {khron bus 'jam por sbyong byed grogs kyi mchog} thron-bu acts as a gentle purgative.
141 khu khrag|SANST the mixture of the semen with the uterine blood by which process, according to Indian physiology, the fœtus is formed (Med.).
141 khyo ga|husband; also emphatically man, as {skyes bu nga hor pa khyo ga yin} I, a Tartar, am a man (as distinguished from effeminate people).
141 khyo|or {khyo bo} a husband; {khyo byed pa} to act as a husband; also to take a wife: khyo-oahi khyo mi byed na if you do not marry me (Jä.).
141 lta log|or {log lta} false statement; false doctrine, heresy; acc. to Jä. any irreligious impulses of the mind, perverse and sinful thoughts.
141 mar rkyang|revenue paid in butter only; the people of the Dok nomad tribes in Tibet who are all herdsmen pay revenue in butter only (Rtsii.).
141 ma rung pa|= {gdug pa} SANST, SANST, SANST [mischievous]S. {ma rungs pa} untractable, coarse, furious; SANST cunning, sly, deceitful (Moon.).
141 mdung khyim|a shade for travelers made on the wayside by throwing a piece of cloth over three pikes or poles; a frame to lean spears against.
141 me ris|the barbarous modern Miri tribe inhabiting the forests in the upper valley of the Dihong, their chief village being called Miri-patam.
141 mngon par chags|v. {'khor ba}. 1. the transmigratory existence (Moon.). 2. SANST fondness; attachment; the state of being very much attached.
141 mu kham pur|n. of a place anciently situated on the confines of Nepal to the north of the cities of Kapilavastu and Malladesa (modern Balia).
141 nag tshang|1. = {me khang} SANST. 2. n. of a Dok-land lying to the northwest of Sa-skya monastery, and S. of the Yeru Tsangpo (Loo. {za} 13).
141 nam mkha'i khyim|the heavenly mansion in a mystical as well as in astrological sense.\n\nSyn. {mtho ris gnas}; {mtho ris rgyal srid} (Moon.).
141 na re|= he (someone) says or said. It hardly occurs in old classical literature, but is frq. in later literature, especially in Mil. and Pth.
141 ngag mi ldan|a dumb person; also one who cannot express himself in clear language.\n\nSyn. {lhug pa}; {tshig mi gsal}; {sems bem po} (Moon.).
141 pu ti|‡ pu Tis g.yogs pa n. of the great ocean to the South of India on the coasts of which people subsist chiefly on fish (K. d. {ra}, 273).
141 rab bkram|1. SANST, SANST well scattered or spread over. 2. n. of a very large number; {rab bkram chen po} SANST n. of a still larger number.
141 rang las tha dad|different from self.\n\n(EEE The original gives the transliteration of the headword as "rxo-..." which is clearly in error.)
141 rbab|a rolling-down, also {rbad}, e.g., {rdo rbab} loose stones rolling down; {rbab zhi bas} after the rolling of detritus had ceased (Mil.).
141 rdal|= {thar thor} scattered, separated from each other as houses are in the suburbs of a town: {grong rdal} the suburbs of a town (Oag. 40).
141 rdo skyes|SANST; bitumen = {brag zhun} (Moon.). {rdo bcud} bitumen (mystic) (Mio-rda). 4. {rdo skran} a kind of steatite or soap-stone (Jä.).
141 rgya yan|= {g.yeng ba} laziness; remissness: {rnam kun rgya yan dus} during the time I am found negligent (of religious duties) (Yig. k. 22).
141 rig byed gdong|SANST an epithet of Brahma.\n\nSyn. {rig byed snying po}; {rig byed dbang}; {rig byed rnam byang}; {rig byed dran po} (Moon.).
141 rkang khrab|(kang-thab) iron shoes worn along with the coat of mail; that part of armour worn like boots from the foot to the knees; greaves.
141 rtul po|or {rtul ba} SANST blunt, dull, stupid; {mtshon rtul} a blunt weapon (Cs.); {dbang po rtul po} blundering; {blo rtul} weak intellect.
141 ru bti|‡ SANST; one of the commanders of the Kaurava armies who fled from the battle field of Kurukretra and took shelter in Tibet (J. Zao.).
141 se 'bru|SANST pomegranate; {se 'bru me tog} pomegranate flower.\n\nSyn. {mchin nad dgra}; {mdzod ldan}; {sked ma}; {spre'u yi shing} (Moon.).
141 sgrub khang|the house or place where one sits to meditate or propitiate a deity, or where the rites and ceremonies are observed for the same.
141 shes rab kyi pha rol tu phyin pa sgo nyer lnga pa|n. of a Tantra containing twenty-five explanations of the mystic word OM (K. g. {Ta}, 247).
141 sho re|1. = {kha shor} a thoughtless promise. 2. colloq. for {zhal ral} hare-lip. 3. a defect, flaw, notch, gap; also damaged, spoiled (Jä.).
141 skye dgu'i bdag po|= {skar ma snar ma} SANST 1. n. of the fourth constellation (Moon.). 2. {tshangs pa} the god Brahma of the Hindus (Moon.).
141 skyems stong rdzong|the fort of Skyems-stoo; {skyems sprags lung} the place where the finest Daphne paper called skyems-shog is manufactured.
141 slar gshems|return; gone back; {kho rang slar yang song} he went away again; {slar gshegs su gsol} I beg you would come back, pray come back.
141 te se|1. n. of a demi-god of the nether regions: {sa bdag the se rgyal po'i sras} the son of Thésé king of the Sadag demons. 2. v. {ti rtse}.
141 tha cad|+\nor {tha chad} SANST, SANST, SANST, SANST base, sordid, vile (Sher. 5).\n\nSyn. {tha ram}; {tha shal}; {ngan pa}; {tha ma} (Moon.).
141 thal tshva|a kind of salt, gen. burnt salt: {thal tshvas grang sel pho ba sbos pa 'joms} burnt salt subdues cold and swelling of the stomach.
