ka|1
chad so|409?
chan|409?
chan gri|409?
chan pa|409?
chab|409?
chab skya|409?
chab khung|409?
chab sgo|409?
chab gtor|409?
chab brom|409?
chab blug|409?
chab 'bangs|409?
chab ma|410
chab mig|410?
chab rtse|410?
chab tshod|410?
chab gzhug|410?
chab 'og pa|410?
chab ril|410?
chab ril pa|410?
chab rom|410?
chab shog|410?
chab ser|410?
chab srid|410?
chab gsang|410?
chab gsil ba|410?
chabs cig|410?
cham|410?
cham du|410?
cham pa|410?
chams bzhag|410?
char|410?
char skyibs|410?
char skyes|410?
char skyob|410?
char skyor|410?
char khebs|410?
char gyi zegs ma|410?
char dga'|410?
char rgyun|410?
char can|410?
char bcug pa|411
char ches|411?
char gtogs pa|411?
char ston|411?
char dus|411?
char drag pa|411?
char rdul|411?
char ldan|411?
char sna rlung khrid|411?
char pa|411?
char sprin|411?
char phobs|411?
char 'bab mkhas pa|411?
char 'bebs|411?
char 'bebs grong 'joms|411?
char med thon pa|411?
char zhod|411?
char zhod che stabs|411?
char zil|411?
char bzang 'bebs pa|411?
char g.yogs|411?
char len|411?
chal|411?
chal chal|411?
chal chil|411?
chal chol|411?
chal du bkrams pa|411?
chal mar brdal ba|411?
chas|411?
chas ka|411?
chas sgyur ba|411?
chas chod|411?
chas pa|412
chas bzo|412?
chi|412?
chi ga|412?
chi li li|412?
chig|412?
chig rkyang|412?
chig rgyu nyis spun|412?
chig thub pa|412?
chig dril|412?
chig lab byed pa|412?
chig shad|412?
chings|412?
chid pa|412?
chib pa|412?
chibs|412?
chibs bskyod gnang ba|412?
chibs kha 'khrid pa|412?
chibs kha thub pa|412?
chibs sga|412?
chibs lnga ldan|412?
chibs lcag|412?
chibs chas|412?
chibs chen|412?
chibs rta|412?
chibs thur|412?
chibs dpon|412?
chir|413
chil sgrog|413?
chu|413?
chu klung|413?
chu klung skyes|414
chu klung mgon|414?
chu klung can|414?
chu klung dag pa|414?
chu klung bdag|414?
chu klung mtsho|414?
chu klong|414?
chu dkyil|414?
chu rkyal|414?
chu skad|414?
chu skor|414?
chu skya|414?
chu skyar|414?
chu skyur|414?
chu skyes|414?
chu skyes dkar|414?
chu skyes mngal|414?
chu skyes can|414?
chu skyes bdag|414?
chu skyes rtsa ba|414?
chu skyod|414?
chu bskol pa|414?
chu khug|414?
chu khur tu 'dzin|414?
chu khebs|414?
chu khol|414?
chu mkhris|414?
chu 'khur|414?
chu 'khor|414?
chu 'khor ba|415
chu 'khyags|415?
chu 'khyil|415?
chu 'khyogs pa|415?
chu 'khri shing|415?
chu 'khrug|415?
chu gang|415?
chu gri|415?
chu grog|415?
chu glang nag po|415?
chu gling|415?
chu mgo|415?
chu mgrin can|415?
chu 'gags pa|415?
chu 'go rta ring|415?
chu rgyan|415?
chu rgyun|415?
chu rgyus|415?
chu sgang|415?
chu sgong|415?
chu sgra|415?
chu bsgyur ba|415?
chu ngan lam bzhugs|415?
chu ngogs|415?
chu rngams|415?
chu bcud|415?
chu lcag|415?
chu chag|415?
chu chu|415?
chu chung du|415?
chu chung nI la|415?
chu nyal|415?
chu nyung|415?
chu gnyer|415?
chu mnyam pa|415?
chu rnyog ma can|415?
chu snying|416
chu gting thung ba|416?
chu gter|416?
chu gter mu khyud|416?
chu gter zur|416?
chu rta mo|416?
chu steng sbyin|416?
chu stod|416?
chu stod kyis nya ba|416?
chu stod skar ma|416?
chu stod skyes|416?
chu thags|416?
chu thig|416?
chu thogs pa|416?
chu mtha'|416?
chu mthongs|416?
chu 'thor|416?
chu 'thor ba|416?
chu dang zheng du ldan pa|416?
chu dar|416?
chu dug|416?
chu dro 'jam|416?
chu dron|416?
chu bdag|416?
chu bdag skyes|416?
chu mda'|417
chu mdo|417?
chu 'dod|417?
chu 'dren|417?
chu rdugs khyer|417?
chu rdul|417?
chu rdo|417?
chu ldur|417?
chu ning|417?
chu rnag|417?
chu phug|417?
chu phyag pa|417?
chu phran|417?
chu 'phrad pa|417?
chu ba|417?
chu ban|417?
chu bal|417?
chu bun|417?
chu bum|417?
chu bur|417?
chu bo|417?
chu bo gang+gA|417?
chu bo chen po lnga|417?
chu bo rab med|417?
chu bo ri|418
chu bya|418?
chu brug pa|418?
chu dbus|418?
chu dbus pa|418?
chu 'bab|418?
chu 'byung|418?
chu 'byed|418?
chu lbag|418?
chu sbur|418?
chu sbyin|418?
chu sbrul|418?
chu ma|418?
chu ma rtsi|418?
chu mig|418?
chu dmar po|418?
chu smad skar ma|418?
chu rtsam|418?
chu tshags|418?
chu tshags gru gsum|418?
chu tshan|419
chu tshod|419?
chu tshod 'khor lo|419?
chu tshwa|419?
chu 'dzin|419?
chu rdza|419?
chu zheng|419?
chu zheng 'gab pa|419?
chu zheng mtha'|419?
chu zem|419?
chu zla|419?
chu gzar|419?
chu bzom|419?
chu 'obs|420
chu yi 'khor lo|420?
chu yi sngags pa|420?
chu yi snying po|420?
chu yi thub pa|420?
chu yi phung po|420?
chu yi tsher ma|420?
chu yi 'dzum dkar|420?
chu yi zegs ldan|420?
chu yi zegs ma|420?
chu yi 'od phrug sngon po|420?
chu yi ro|420?
chu yi lang tsho|420?
chu yi srin po'i grong che|420?
chu rags|420?
chu ri|420?
chu rug|420?
chu rlabs|420?
chu las 'byung ba|420?
chu lo|420?
chu log|420?
chu lon|420?
chu shing|420?
chu shing dkar po|420?
chu shing gi mkhar ba|420?
chu shing brla can ma|420?
chu shur|421
chu shul|421?
chu shel|421?
chu shel dbang gi dkyil 'khor|421?
chu shel zhun ma|421?
chu gshong|421?
chu ser|421?
chu so|421?
chu srang|421?
chu srin ke ke ru|421?
chu srin rgyal mtshan|421?
chu srin chen po|421?
chu srin bdag|421?
chu srin rdo rje ri mo'i bran mo|421?
chu srin sder mo|421?
chu srin byis pa gsod|421?
chu srin 'dzin khri|421?
chu srib|421?
chu srub|421?
chu srel|421?
chu srol|421?
chu lhag|421?
chu lha'i zhags pa|421?
chu lha'i shing|421?
chug|422
chung|422?
chung gri|422?
chung ngu|422?
chung ngun|422?
chung ngus grol|422?
chung chung|422?
chung ches pa|422?
chung 'jug|422?
chung nyung|422?
chung byed|422?
chung ma|422?
chung ma'i spun zla|422?
chung zad|422?
chung lug|422?
chung lung|422?
chung sha|422?
chung shos|422?
chung sug|422?
chud pa|422?
chud ma gson|422?
chud mi za ba|422?
chud 'dza' ba|422?
chud gzon pa|422?
chun|422?
chun gyi brag dmar|422?
chun pa|423
chun po|423?
chun po can|423?
chun 'phyang ba|423?
chub pa|423?
chum|423?
chum pa|423?
chu'i skye gnas|423?
chu'i 'khril shing|423?
chu'i 'khrul 'khor|423?
chu'i gad mo|423?
chu'i sgur 'khyog|423?
chu'i nya phyis|423?
chu'i dong|423?
chu'i dra ba|423?
chu'i 'dab chags|423?
chu'i 'dre log|423?
chu'i rdo ba|423?
chu'i dpal yon|423?
chu'i rtsa|423?
chu'i rtswa|423?
chu'i zhal ta pa|423?
chu'i gzhi|423?
chu'i zegs ma|423?
chu'i gzugs brnyan|423?
chu'i lo ma|423?
chu'i shing rta|423?
chu'i sa bon|423?
chur|423?
chur sgrogs|423?
chur 'dres|423?
chur ba|423?
chur mi lhung|423?
chur lhung|423?
chus|423?
chus 'jig pa|423?
chus bran pa|423?
chus mi nyams pa|423?
chus mi 'tshub|423?
che|423?
che ka|423?
che khyad|423?
che ge|423?
che ge mo|423?
che dgu|423?
che rgyu|423?
che brgyud|423?
che chung|423?
che che|423?
che cher rgan pa|423?
che mchog|424
che brjod|424?
che thabs|424?
che thabs can|424?
che don|424?
che 'don|424?
che ba|424?
che btsan|424?
che zhe|424?
che bzhag chung skyur ba|424?
che bzhi|424?
che re|424?
che long|424?
che longs|424?
che shos|424?
ched|424?
ched 'ga'|424?
ched chen po|424?
ched cher|424?
ched brjod pa'i sde|424?
ched gnyer|424?
ched du brjod pa'i tshoms|424?
ched don|424?
ched pa|424?
ched spel ba|424?
ched so|424?
chen chung|424?
chen snang|424?
chen po|425
chen po 'gyur ba|425?
chen po lnga|425?
chem|425?
chem chem|425?
chem me ba|425?
chems|425?
chems pa|425?
chel pa|425?
ches|425?
ches mgyogs|425?
ches rgas pa|425?
ches lci ba|425?
ches chung ba|425?
ches che ba|425?
ches mchog|425?
ches nye ba|425?
ches 'thung ba|425?
ches sdom pa|425?
ches pa|425?
ches mang|425?
ches myur|425?
ches bzhon pa|425?
ches lhag pa|425?
cho|426
cho ga|426?
cho ga'i ngang tshul can|426?
cho nge|426?
cho nge dir|426?
cho 'phrul|426?
cho 'phrul mchod pa|426?
cho ba|426?
cho babs skor|426?
cho 'brang|426?
cho ma|426?
cho rigs|426?
cho ris|427
cho lo|427?
cho lo rtse ba|427?
cho lo ris|427?
cho lo'i skugs pa|427?
cho lo'i sa bon|427?
cho los thul lo|427?
chog|427?
chog pa|427?
chog pa med pa|427?
chog shes pa|427?
chong|427?
chod|427?
chod pa|428
chod so bdog pa|428?
chon|428?
chom|428?
chom pa|428?
chom po|428?
chol|428?
chol kha|428?
chol 'gro ba|428?
chol zangs|428?
chos|428?
chos kyi sku|429
chos kyi skye mched|429?
chos kyi khyu mchog 'brong|429?
chos kyi 'khor lo|429?
chos kyi grags pa|429?
chos kyi rgyal mtshan|429?
chos kyi sgra|429?
chos kyi chos nyid|429?
chos kyi gting slebs pa|429?
chos kyi bston pa|429?
chos kyi 'dun sa|429?
chos kyi rnam grangs|429?
chos kyi 'phongs par 'gyur ba|429?
chos kyi bar du gcod pa|429?
chos kyi bu|429?
chos kyi dbang phyug|429?
chos kyi dbyings|430
chos kyi rtsa 'khor|430?
chos kyi rtsa ba|430?
chos kyi tshong brdal|430?
chos kyi tshong dpon|430?
chos kyi bzhon pa can|430?
chos skad|430?
chos skyong|430?
chos skyong dregs pa lcam sring|430?
chos skyobs|430?
chos khri|430?
chos khrims|430?
chos 'khor|430?
chos 'khor rgyal|430?
chos 'khor sgang|430?
chos 'khor gnas|430?
chos gos|430?
chos gos zlum por bgo ba|430?
chos grags|430?
chos grwa|430?
chos rgyal|430?
chos rgyal skyes|430?
chos rgyal nang sgrub|430?
chos rgyal phyi sgrub|430?
chos rgyal gsang sgrub|430?
chos rgyugs|431
chos rgyud|431?
chos rgyun gyi ting nge 'dzin|431?
chos can|431?
chos can ring|431?
chos bcas ma|431?
chos chas|431?
chos mchog|431?
chos 'chad pa|431?
chos 'chong pa|431?
chos rje nag dkar|431?
chos nyid|431?
chos nyid kyis rnyed pa|431?
chos snyam sgrub pa po|431?
chos rtol|431?
chos stegs|431?
chos ston|431?
chos thams cad|431?
chos thob|431?
chos mthun|431?
chos dar ba|431?
chos don du gnyer ba|431?
chos drangs pa|431?
chos drug|432
chos dred|432?
chos 'dod|432?
chos 'dod pa|432?
chos ldan|432?
chos ldan zhing khams|432?
chos ldan rab 'byor|432?
chos sde|432?
chos rnams gang dag|432?
chos snang ba'i sgo|432?
chos pa|432?
chos spun|432?
chos 'phel|432?
chos blon|432?
chos 'bangs|432?
chos 'byung|432?
chos 'byung byin|432?
chos 'byung zhi ba|432?
chos sbyin|432?
chos ma|432?
chos mi 'gyur ba nyid|432?
chos min|432?
chos min spyod pa|432?
chos med|432?
chos myon|432?
chos smra ba|432?
chos tshong ba|432?
chos rdzong|432?
chos zhog|432?
chos gzhi|433
chos bzhi ba'i dbyangs|433?
chos bzang|433?
chos bzang bskal pa|433?
chos bzang sprin|433?
chos lugs|433?
chos shes par 'dod|433?
chos sems|433?
chos sems khang bu|433?
chos sems can|433?
chos srid|433?
mchad pa|433?
mchan|433?
mchan khug|433?
mchan bu|433?
mchan zhabs|433?
mchan 'og|433?
mchi ba|433?
mchi ma|433?
mchig|433?
mchig skor ba|433?
mchig gu|433?
mchig ma|433?
mching bu|434
mchid|434?
mchin dri|434?
mchin nad|434?
mchin nan|434?
mchin pa|434?
mchin tshad|434?
mchims|434?
mchims bza'|434?
mchil khra|434?
mchil mgo|434?
mchil pa|434?
mchil ma|434?
mchil ma'i thal ba|434?
mchil ma'i snod|434?
mchil lud|434?
mchil lham|434?
mchis pa|434?
mchis brang|435
mchis mal|435?
mchu|435?
mchu sde lnga|435?
mchu ring|435?
mchu rings|435?
mchu las skyes|435?
mche sder|435?
mche ba|435?
mche ba gcig pa|435?
mche ba stong ldan|435?
mche ba stobs ldan|435?
mche ba drug ldan|435?
mche ba ldad byed pa|435?
mche ba'i sde|435?
mche gtsigs pa|435?
mched|436
mched pa|436?
mched zla|436?
mcher pa|436?
mchel|436?
mchog|436?
mchog skyong|437
mchog gi rgyan|437?
mchog gi rgyal mtshan|437?
mchog gi lcug ma|437?
mchog gi dang po'i sangs rgyas|437?
mchog gi bdag|437?
mchog gi bdud rtsi|437?
mchog gi ma|437?
mchog dga'|437?
mchog nyal|437?
mchog tu bkrabs|437?
mchog tu 'gro ba|437?
mchog tu rgyan pa|437?
mchog tu tsha ba'i dpa' bo|437?
mchog tu mdzes pa|437?
mchog tu yid 'thad|437?
mchog tu ring ba|437?
mchog tu bsam pa|437?
mchog bdag|437?
mchog bde|437?
mchog 'dod|437?
mchog ldan|437?
mchog sbyin|437?
mchog sbyin phyag rgya|437?
mchog sbyin ma|437?
mchog sbyor ba|437?
mchog zung|437?
mchog 'od|437?
mchog yas|437?
mchog shes|437?
mchog sems|437?
mchog srid|437?
mchog gsum|438
mchong|438?
mchong ba|438?
mchod kong|438?
mchod khang|438?
mchod khri|438?
mchod lcog|438?
mchod chas|438?
mchod mchog|438?
mchod brjod|438?
mchod rten|438?
mchod rten gyi 'khor sa|438?
mchod rten byed|438?
mchod rten shing|438?
mchod stegs|439
mchod stod|439?
mchod ston|439?
mchod ldan|439?
mchod ldan ma|439?
mchod sdong|439?
mchod sdong can|439?
mchod sdong chen po|439?
mchod gnas|439?
mchod pa|439?
mchod pa po|439?
mchod pa'i sprin|439?
mchod pa'i tshigs|439?
mchod par byed|439?
mchod par 'os pa|439?
mchod phyir thogs|439?
mchod bya|439?
mchod byed|439?
mchod 'bul|439?
mchod sbyin|439?
mchod sbyin gyi rig byed|440
mchod sbyin dgra bo|440?
mchod sbyin can|440?
mchod sbyin 'joms|440?
mchod sbyin 'don ma|440?
mchod sbyin gnas|440?
mchod sbyin spo|440?
mchod sbyin spyod|440?
mchod sbyin phyugs|440?
mchod sbyin byas|440?
mchod sbyin byed du 'jug pa|440?
mchod sbyin sbyar|440?
mchod sbyin 'dzin|440?
mchod sbyin lhag|440?
mchod me|440?
mchod tshig|440?
mchod rdzas|440?
mchod 'os|440?
mchod 'os gnas|440?
mchod yon|440?
mchod g.yog|440?
mchod ro|440?
mchod shoms|440?
mchor po|440?
'chag|440?
'chag can|440?
'chag pa|441
'chag par byed|441?
'chag sa|441?
'chag sa'i bug pa|441?
'chags pa|441?
'chang ba|441?
'chang zungs|441?
'changs pa|441?
'chad mkhas pa|441?
'chad 'dod|441?
'chad pa|442
'chab pa|442?
'cham pa|442?
'cham po|442?
'cham dpon|442?
'cham yig|442?
'chams|442?
'cha'|442?
'cha' ba|442?
'cha' rlom pa|442?
'char|442?
'char ka|442?
'char skyems|442?
'char ga|442?
'char sgo|442?
'char stengs pa|442?
'char ba|443
'chal|443?
'chal 'chol|443?
'chal gtam|443?
'chal pa|443?
'chal ba|443?
'chal mo|443?
'chal tshig|443?
'chi|443?
'chi kha|443?
'chi gu|443?
'chi rtags|443?
'chi ltas|443?
'chi bdag|443?
'chi nad|443?
'chi 'pho|443?
'chi 'pho ba|443?
'chi 'pho med|443?
'chi ba|444
'chi ba med|444?
'chi ba las rgyal ba|444?
'chi ba bslu ba|444?
'chi med|444?
'chi med dga' ba|444?
'chi med rnga|444?
'chi med chab|444?
'chi med mchod yon|444?
'chi med ljon shing|444?
'chi med bdud rtsi|444?
'chi med bu mo|444?
'chi med dbang mo|444?
'chi med mdzod|444?
'chi med ril bu|444?
'chi med seng ge|444?
'chig pa|444?
'ching bsgrigs|444?
'ching nyen pa|444?
'ching pa|444?
'ching ba|444?
'ching ba sbyin ma|444?
'ching bar|444?
'ching bu|444?
'ching bu'i snod|444?
'ching byed|444?
'ching byed ma|444?
'ching zab|444?
'chib pa|445
'chims pa|445?
'chims phug|445?
'chir ba|445?
'chil pa|445?
'chu ba|445?
'chug|445?
'chug med|445?
'chun|445?
'chum pa|445?
'chus pa|445?
'che ba|445?
'cheg pa|445?
'chems pa|445?
'cher pa|445?
'chel ba|445?
'ches pa|446
'chog thog|446?
'chog pa|446?
'chong ba|446?
'chobs shig|446?
'choms pa|446?
'chor nyan|446?
'chor po|446?
'chor ba|446?
'chol ba|446?
'chol ma|446?
'chos pa|446?
ja|447
ja ko|447?
ja dkrug|447?
ja kha|447?
ja khug|447?
ja khra|447?
ja rgyab|447?
ja mchod|447?
ja 'thag|447?
ja dpon|447?
ja phud|447?
ja 'bing|447?
ja sbyor|447?
ja ma|447?
ja tshags|447?
ja ril|447?
ja lag gnyis|447?
ja lung|447?
ja shing|447?
ja sang|447?
ja sigs|447?
ja sun|447?
ja sun can|447?
ja ser|447?
ja hong|447?
jag|448
jag pa|448?
jag dpon|448?
jal|448?
ji|448?
ji skad|448?
ji ga|448?
ji snyam pa|448?
ji snyed|448?
ji lta|448?
ji ltar|448?
ji ste|448?
ji nas|448?
ji nus kyis|448?
ji ma rung|448?
ji tsam|448?
ji tsug|449
ji zhig|449?
ji bzhin|449?
ji bzhin du|449?
ji 'os|449?
ji yod|449?
ji srid|449?
jing|449?
ju|449?
ju thig|449?
ju po|449?
ju ru ja|449?
ju shes|449?
jun wang|449?
jub phab|449?
jus|449?
jus mkhas po|449?
jus legs|449?
je|449?
je kha|449?
je khyod|449?
je dang po|449?
je dbul ba|450
je zhig|450?
je ring|450?
jeng|450?
jo|450?
jo jo|450?
jo nang|450?
jo bo|450?
jo bo rje|450?
jo bo phying dkar ba|450?
jo bo'i lugs kyi rta mgrin|450?
jo mo|450?
jo mo kha nag|450?
jo mo gangs dkar|450?
jo mo lha ri|450?
jo rtsi|450?
jo rtsi gser shog|450?
jo rdzong|450?
jo lugs sgrol dkar|450?
mjal kha|451
mjal rten|451?
mjal dar|451?
mjal sna pa|451?
mjal phyag|451?
mjal ba|451?
mjal mang|451?
mjal zhu|451?
mjing bsnol|451?
mjing pa|451?
mjings zab|451?
mjug|451?
mjug sgro|451?
mjug sgro can|451?
mjug bsngo ba|451?
mjug bsngos|451?
mjug do|451?
mjug rdum|451?
mjug phod can|451?
mjug ma|451?
mjug ring|451?
mjug rings|451?
mje|451?
mjed pa|452
'jag skya|452?
'jag gdan|452?
'jag pa|452?
'jag ma|452?
'jags|452?
'jags pa|452?
'jags ring|452?
'jang|452?
'jang gyi rgyang mkhar|452?
'jang ba|452?
'jang tsha lha dbang|452?
'jang so|452?
'jangs zhabs|452?
'jangs sa tham|452?
'jan po|452?
'jab gdan|452?
'jab pa|452?
'jab bu ba|452?
'jab tse|452?
'jab rtse kha|452?
'jam klas|452?
'jam mgon|452?
'jam mgon chos kyi rgyal po|452?
'jam mgon bla ma|452?
'jam jus|452?
'jam 'jam|452?
'jam ljang 'dab ldan|452?
'jam gnyen ma|452?
'jam thabs|452?
'jam pa|453
'jam pa'i rdo rje|453?
'jam pa'i dbyangs|453?
'jam pa'i rigs|453?
'jam po|453?
'jam por smra|453?
'jam pos len|453?
'jam dpal|453?
'jam dpal gyi sangs rgyas kyi zhing gi yon tan bkod pa|453?
'jam dpal grags|453?
'jam dpal rgya mtsho|453?
'jam dpal rnga sgra|453?
'jam dpal snying po|454
'jam dpal gnas pa|454?
'jam dpal gzhon nur gyur pa|454?
'jam dpal bshes gnyen|454?
'jam dbyangs|454?
'jam dbyangs dkar po|454?
'jam dbyangs smra seng|454?
'jam 'bras|454?
'jam 'bras dbye pa|454?
'jam ma|454?
'jam mo|454?
'jam rtsi|454?
'jam yas|454?
'ja'|454?
'ja' ba|454?
'ja' ma|454?
'ja' ris|454?
'ja' sa|454?
'jar ba|454?
'jal kha|454?
'jal ba|454?
'jal bar byed|454?
'jal byed|454?
'jas pa|455
'ji ba|455?
'jig rten|455?
'jig rten khams|456
'jig rten khams kyi cha shas|456?
'jig rten mkha' 'gro|456?
'jig rten mkhyen pa|456?
'jig rten gyi gtam|456?
'jig rten gyi thad|456?
'jig rten gyi bar|456?
'jig rten gyi tshul|456?
'jig rten mgon po|456?
'jig rten 'jig pa|456?
'jig rten thams cad la mngon par mi dga' ba'i 'du shes|456?
'jig rten 'dul|456?
'jig rten pa|456?
'jig rten pha rol|456?
'jig rten byed po|456?
'jig rten dbang po|456?
'jig rten dbang phyug|456?
'jig rten mig|456?
'jig rten mes po|456?
'jig rten zla ba|456?
'jig rten las 'das ma|456?
'jig rten shing rta ma|456?
'jig pa|457
'jig pa can|457?
'jig pa'i bskal pa|457?
'jig pa'i ngang can|457?
'jig tshogs|457?
'jig tshogs la lta ba|457?
'jigs|457?
'jigs skyobs|457?
'jigs skrag|457?
'jigs mkhan|457?
'jigs bcas|458?
'jigs bcas lam|458?
'jigs chum pa|458?
'jigs ster|458?
'jigs sdang|458?
'jigs sde|458?
'jigs gnas|458?
'jigs pa|458?
'jigs pa can|458?
'jigs pa bcu pa|458?
'jigs pa med|458?
'jigs pa sel byed|458?
'jigs par 'gyur|458?
'jigs byed skyes|458?
'jigs byed bsdus pa|458?
'jigs byed ma|458?
'jigs rung|458?
'jigs sa|458?
'jigs sa che|458?
'jigs su rung ba ma|458?
'jing|458?
'jing pa|458?
'jings|458?
'jib|458?
'jib 'thung|458?
'jib rtsi|459?
'jim pa|459?
'jim las pa|459?
'jil na shan|459?
'jil ba|459?
'jil li|459?
'ju ba|459?
'jug|459?
'jug 'khrun chod pa|459?
'jug brgya pa|459?
'jug ngogs|459?
'jug ldog|459?
'jug sdud|459?
'jug pa|459?
'jug pa gcig|459?
'jug pa'i gnas|459?
'jug par 'dod pa|459?
'jug par byed pa|459?
'jug bya|459?
'jug rings|459?
'jungs pa|460?
'jud mthun ma|460?
'jud pa|460?
'jun 'gar|460?
'jun pa|460?
'jum khyad|460?
'jum pa|461
'jur gegs|461?
'jur gyis|461?
'jur ba|461?
'jur bu|461?
'jus|461?
'je|461?
'jebs pa|461?
'jem pa|461?
'jer 'jigs|461?
'jo mkhan|461?
'jo ba|461?
'jo ba mo|461?
'jo ma|461?
'jo sha|461?
'jog pa|462
'jog po|462?
'jog byed|462?
'jong|462?
'jong po|462?
'jong tse|462?
'jon dmar|462?
'joms|462?
'joms pa|462?
'joms byed|462?
'joms byed bu|462?
'jor|462?
'jol 'jol|462?
'jol po|462?
'jol ba|463
'jol mo|463?
'jol le|463?
rjang ma|463?
rjid pa|463?
rjib las|463?
rjud pa|463?
rje|463?
rje khri sgra spungs can|463?
rje dge 'dun grub|463?
rje ngar|463?
rje lcang skya rol pa'i rdo rje|463?
rje nyid|463?
rje thog rtsan|463?
rje ba|463?
rje bo|463?
rje 'bangs|464
rje ma|464?
rje mo|464?
rje btsun|464?
rje btsun dpal|464?
rje btsun byams pa|464?
rje btsun ma|464?
rje btsun ma kA pa li tA ra|464?
rje rigs|464?
rje rin po che|464?
rje sa|464?
rjed ngas can|464?
rjed chu|464?
rjed tho|464?
rjed rdo|464?
rjed pa|464?
rjed byang|464?
rjed byed|464?
rjed zas|464?
rjen|464?
rjen btags|464?
rjen pa|465
rjen phye|465?
rjen zas|465?
rjen rigs|465?
rje'u rigs|465?
rjes|465?
rjes khugs pa|465?
rjes khrid|465?
rjes dngos|465?
rjes gcod|465?
rjes gcod pa|465?
rjes chags|465?
rjes chags skye|465?
rjes 'jug|465?
rjes brjod|465?
rjes snyegs pa|465?
rjes thog|465?
rjes thob pa|466
rjes mthun pa|466?
rjes dran|466?
rjes gnang|466?
rjes pa|466?
rjes dpag|466?
rjes 'brang|466?
rjes ma|466?
rjes med|466?
rjes 'dzin|466?
rjes bzung|466?
rjes shes|466?
rjes su|466?
rjes su skyes|466?
rjes su khyod|466?
rjes su bgrod|466?
rjes su 'gugs pa|466?
rjes su 'gro ba|466?
rjes su sgrub pa|466?
rjes su gcod|466?
rjes su chags|466?
rjes su 'jug pa|466?
rjes su rtogs par bya|466?
rjes su bstan pa|466?
rjes su thos|466?
rjes su mthun pa|466?
rjes su dran pa|466?
rjes su ldan|467
rjes su gnang ba|467?
rjes su dpag|467?
rjes su spyod pa|467?
rjes su 'phrog pa|467?
rjes su byed pa|467?
rjes su 'byung ba|467?
rjes su 'brang ba|467?
rjes su 'brel ba|467?
rjes su mi mthun pa|467?
rjes su mi 'dzin pa|467?
rjes su brtse ba|467?
rjes su tshol ba|467?
rjes su 'tsho|467?
rjes su 'dzin pa|467?
rjes su zhugs|467?
rjes su yi rang ba|467?
rjes su bshad pa|467?
rjes su slob pa|467?
rjod pa|467?
ljag ma|469?
ljag mo gling ga|469?
ljags|469
ljags bsnyen pa|469?
ljang|469
ljang bkra shis dgon pa|469?
ljang skya|469?
ljang khu|469?
ljang khra|469?
ljang gu|469?
ljang ja|469?
ljang dung|469?
ljang nag|469?
ljang pa|470
ljang bu|470?
ljang ma|470?
ljang mo|470?
ljang dmar|470?
ljang ser|470?
ljan ljin|470?
ljab|470?
ljab ljab|470?
lji|470?
lji ting|470?
lji ba|470?
lji med|470?
ljid can|470?
ljid gnon|470?
ljid pa|470?
ljur|470
ljen pa|470
ljong dar|470?
ljongs|470
ljongs gsum|470?
ljon pa|471
ljon pa lung|471?
ljon pa ser po|471?
ljon shing|471
ljon shing rtsa chas|471?
brjid|467
brjid can|467?
brjid chags pa|467?
brjid non|467?
brjid pa|468
brjid pa'i 'gros|468?
brje|468
brje ba|468?
brje bo|468?
brje mtshams|468?
brjed|468
brjed ngas pa|468?
brjed tho|468?
brjed tho btags pa|468?
brjed pa|468?
brjed pa med pa|468?
brjed sprod|468?
brjed byed|468?
brjed byed kyi gdon|468?
brjed sbyang ba|468?
brjes pa|468?
brjod|468
brjod nyams tshig|468?
brjod du med pa|468?
brjod do|468?
brjod bde ba|468?
brjod 'dod|468?
brjod pa yin|468?
brjod par 'dod pa|468?
brjod par bya ba|468?
brjod bya|468?
brjod bya can|468?
brjod bya ldan|468?
brjod bya bral|468?
brjod bya'i rtags|468?
brjod bya'i rab|468?
brjod mi bde ba|468?
brjod med|468?
brjod bzang|468?
brjod yas|468?
nya|472
nya kyu|472?
nya rkyal|472?
nya skyogs|472?
nya khra|472?
nya khrab can|472?
nya khrar|472?
nya khri|472?
nya ga|472?
nya dgra dkar mo|472?
nya rgya|472?
nya rgyab|472?
nya sgong|472?
nya lcibs|472?
nya lcibs kyi smin 'gyu|472?
nya lcibs khog par smin pa|472?
nya lcibs pa phog gnam skyes|472?
nya nyi ma dga'|472?
nya nyer|472?
nya dol|473
nya dol pa|473?
nya dos|473?
nya phyis|473?
nya bo|473?
nya 'bigs|473?
nya ma|473?
nya ma pho mo rnams|473?
